lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue
1,HAM,99.884,1:39.884,12.606,HARD,1,12,0.0,"[""YELLOW_FLAG"", ""Other"", ""DRS_ENABLED"", ""Flag"", ""SessionStatus""]",No transmission.,0.0,209.0,283.0,305.0,26.969,40.695,34.848,20:01:39,3.0,3.2,5.7
2,HAM,116.731,1:56.731,29.453,HARD,2,12,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,207.0,285.0,221.0,18.5,55.233,42.998,20:03:53,3.8,3.2,5.8
3,HAM,97.736,1:37.736,10.458,HARD,3,12,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG"", ""DRS_ENABLED"", ""Flag""]",No transmission.,0.0,210.0,247.0,306.0,21.874,42.821,33.041,20:04:53,3.8,3.2,5.8
4,HAM,89.666,1:29.666,2.388,HARD,4,12,0.0,"[""Other""]",No transmission.,0.0,209.0,288.0,309.0,18.052,38.08,33.534,20:05:58,3.8,4.8,5.9
5,HAM,89.733,1:29.733,2.455,HARD,5,12,0.0,"[""Other""]",No transmission.,0.0,207.0,288.0,307.0,18.087,38.059,33.587,20:07:28,3.8,4.8,5.9
6,HAM,90.693,1:30.693,3.415,HARD,6,12,0.0,"[""Other""]",No transmission.,0.0,207.0,290.0,313.0,18.103,38.208,34.382,20:09:04,3.8,4.0,6.0
7,HAM,90.355,1:30.355,3.077,HARD,7,12,0.0,[],No transmission.,0.0,209.0,287.0,306.0,18.209,38.313,33.833,20:10:32,3.8,4.2,6.0
8,HAM,90.218,1:30.218,2.94,HARD,8,12,0.0,"[""Other""]",No transmission.,0.0,208.0,287.0,299.0,18.077,38.462,33.679,20:12:01,3.8,4.2,6.0
9,HAM,90.296,1:30.296,3.018,HARD,9,12,0.0,"[""Other""]",No transmission.,0.0,207.0,288.0,305.0,17.991,38.485,33.82,20:13:32,3.8,4.2,6.1
10,HAM,90.655,1:30.655,3.377,HARD,10,12,0.0,"[""Other""]",No transmission.,0.0,208.0,288.0,297.0,18.013,38.474,34.168,20:15:06,3.8,4.1,6.1
11,HAM,91.066,1:31.066,3.788,HARD,11,12,0.0,"[""Other""]",No transmission.,0.0,208.0,291.0,303.0,18.07,38.43,34.566,20:16:41,3.8,3.4,6.2
12,HAM,89.955,1:29.955,2.677,HARD,12,10,0.0,"[""Other""]",No transmission.,0.0,210.0,283.0,326.0,18.04,38.429,33.486,20:17:59,3.8,4.6,6.2
13,HAM,90.28,1:30.280,3.002,HARD,13,9,0.0,[],https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/LEWHAM01_44_20241208_172158.mp3,0.0,210.0,282.0,289.0,18.051,39.047,33.182,20:19:33,4.4,4.2,6.3
14,HAM,90.038,1:30.038,2.76,HARD,14,7,0.0,"[""Other""]",No transmission.,0.0,210.0,284.0,293.0,18.088,38.928,33.022,20:21:00,3.8,4.6,6.3
15,HAM,89.872,1:29.872,2.594,HARD,15,6,0.0,"[""Other""]",No transmission.,0.0,211.0,287.0,293.0,17.916,38.843,33.113,20:22:28,3.8,4.7,6.3
16,HAM,89.966,1:29.966,2.688,HARD,16,6,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,210.0,285.0,290.0,18.045,38.798,33.123,20:23:59,3.8,4.6,6.4
17,HAM,89.637,1:29.637,2.359,HARD,17,6,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,211.0,286.0,295.0,17.931,38.707,32.999,20:25:23,3.8,4.8,6.4
18,HAM,89.756,1:29.756,2.478,HARD,18,6,0.0,[],No transmission.,0.0,210.0,287.0,295.0,17.946,38.779,33.031,20:26:55,3.8,4.8,6.5
19,HAM,89.849,1:29.849,2.571,HARD,19,6,0.0,[],No transmission.,0.0,209.0,288.0,296.0,17.985,38.756,33.108,20:28:27,3.8,4.7,6.5
20,HAM,89.807,1:29.807,2.529,HARD,20,6,0.0,[],No transmission.,0.0,209.0,290.0,296.0,18.012,38.726,33.069,20:29:56,3.8,4.7,6.7
21,HAM,89.719,1:29.719,2.441,HARD,21,5,0.0,[],No transmission.,0.0,210.0,289.0,297.0,18.038,38.648,33.033,20:31:24,3.8,4.8,6.7
22,HAM,89.655,1:29.655,2.377,HARD,22,5,0.0,[],No transmission.,0.0,210.0,288.0,298.0,18.002,38.663,32.99,20:32:52,3.8,4.8,6.7
23,HAM,89.787,1:29.787,2.509,HARD,23,5,0.0,[],No transmission.,0.0,210.0,288.0,299.0,17.997,38.796,32.994,20:34:25,3.8,4.7,6.8
24,HAM,89.698,1:29.698,2.42,HARD,24,5,0.0,[],No transmission.,0.0,210.0,288.0,299.0,18.014,38.638,33.046,20:35:52,3.8,4.8,6.8
25,HAM,89.616,1:29.616,2.338,HARD,25,5,0.0,"[""Other""]",No transmission.,0.0,209.0,289.0,298.0,17.985,38.634,32.997,20:37:20,3.8,4.8,6.9
26,HAM,89.833,1:29.833,2.555,HARD,26,5,0.0,[],No transmission.,0.0,210.0,288.0,298.0,17.973,38.703,33.157,20:38:55,3.8,4.7,6.9
27,HAM,89.844,1:29.844,2.566,HARD,27,4,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,210.0,287.0,298.0,18.034,38.79,33.02,20:40:25,3.8,4.7,7.0
28,HAM,89.481,1:29.481,2.203,HARD,28,4,0.0,[],No transmission.,0.0,211.0,291.0,301.0,17.928,38.556,32.997,20:41:45,3.8,5.0,7.0
29,HAM,89.756,1:29.756,2.478,HARD,29,4,0.0,"[""Other""]",No transmission.,0.0,211.0,291.0,299.0,17.919,38.68,33.157,20:43:22,3.8,4.8,7.0
30,HAM,89.486,1:29.486,2.208,HARD,30,3,0.0,"[""Other"", ""Flag""]",https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/LEWHAM01_44_20241208_174719.mp3,0.0,211.0,290.0,297.0,17.929,38.621,32.936,20:44:44,4.4,5.0,7.1
31,HAM,89.714,1:29.714,2.436,HARD,31,3,0.0,"[""Other"", ""YELLOW_FLAG"", ""DRS_ENABLED"", ""Flag""]",No transmission.,0.0,210.0,289.0,296.0,17.903,38.641,33.17,20:46:21,3.8,4.8,7.1
32,HAM,89.802,1:29.802,2.524,HARD,32,3,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,211.0,291.0,301.0,17.996,38.623,33.183,20:47:53,3.8,4.7,7.2
33,HAM,89.589,1:29.589,2.311,HARD,33,3,0.0,"[""Other""]",No transmission.,0.0,211.0,290.0,299.0,17.94,38.682,32.967,20:49:16,3.8,4.8,7.2
34,HAM,91.792,1:31.792,4.514,HARD,34,4,0.0,[],No transmission.,0.0,300.0,290.0,304.0,17.93,38.584,35.278,20:52:00,4.8,3.3,7.2
35,HAM,108.722,1:48.722,21.444,MEDIUM,2,7,0.0,[],No transmission.,0.0,217.0,286.0,300.0,38.042,38.445,32.235,21:03:25,4.8,3.2,7.3
36,HAM,87.803,1:27.803,0.525,MEDIUM,3,7,0.0,[],No transmission.,0.0,215.0,290.0,300.0,17.683,38.017,32.103,20:52:40,3.8,6.4,7.3
37,HAM,87.741,1:27.741,0.463,MEDIUM,4,7,0.0,"[""Other""]",No transmission.,0.0,215.0,289.0,297.0,17.629,37.958,32.154,20:54:06,3.8,6.4,7.4
38,HAM,88.061,1:28.061,0.783,MEDIUM,5,7,0.0,"[""Other""]",No transmission.,0.0,215.0,287.0,295.0,17.708,38.156,32.197,20:55:46,3.8,6.1,7.4
39,HAM,88.001,1:28.001,0.723,MEDIUM,6,7,0.0,[],No transmission.,0.0,214.0,288.0,298.0,17.628,38.096,32.277,20:57:12,3.8,6.2,7.5
40,HAM,87.726,1:27.726,0.448,MEDIUM,7,6,0.0,[],No transmission.,0.0,214.0,294.0,298.0,17.604,37.9,32.222,20:58:29,3.8,6.4,7.6
41,HAM,88.653,1:28.653,1.375,MEDIUM,8,6,0.0,[],No transmission.,0.0,213.0,288.0,313.0,17.605,38.026,33.022,21:00:34,3.8,5.7,7.6
42,HAM,87.692,1:27.692,0.414,MEDIUM,9,5,0.0,[],No transmission.,0.0,214.0,293.0,299.0,17.744,37.858,32.09,21:01:23,3.8,6.4,7.7
43,HAM,87.556,1:27.556,0.278,MEDIUM,10,5,0.0,[],https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/LEWHAM01_44_20241208_180707.mp3,0.0,215.0,293.0,298.0,17.481,38.059,32.016,21:02:44,4.4,6.6,7.7
44,HAM,87.278,1:27.278,0.0,MEDIUM,11,5,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,216.0,295.0,300.0,17.461,38.008,31.809,21:04:00,3.8,6.7,7.8
45,HAM,87.629,1:27.629,0.351,MEDIUM,12,5,0.0,"[""Flag""]",No transmission.,0.0,214.0,294.0,298.0,17.473,38.1,32.056,21:05:43,3.8,6.5,7.8
46,HAM,87.571,1:27.571,0.293,MEDIUM,13,5,0.0,"[""Other""]",No transmission.,0.0,215.0,293.0,298.0,17.511,38.072,31.988,21:07:08,3.8,6.5,7.9
