lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue
1,LEC,97.644,1:37.644,9.626,MEDIUM,1,8,0.0,"[""DRS_ENABLED"", ""Flag"", ""YELLOW_FLAG"", ""Other"", ""SessionStatus""]",No transmission.,0.0,213.0,288.0,296.0,26.364,39.256,34.12,20:01:37,3.0,3.2,5.7
2,LEC,113.013,1:53.013,24.995,MEDIUM,2,8,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,196.0,285.0,188.0,18.302,51.223,43.488,20:03:46,3.8,3.2,5.8
3,LEC,99.656,1:39.656,11.638,MEDIUM,3,8,0.0,"[""Flag"", ""DRS_ENABLED"", ""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,215.0,233.0,316.0,23.997,42.263,33.396,20:04:58,3.8,3.2,5.8
4,LEC,89.273,1:29.273,1.255,MEDIUM,4,8,0.0,"[""Other""]",No transmission.,0.0,211.0,288.0,301.0,18.001,38.23,33.042,20:05:57,3.8,5.7,5.9
5,LEC,89.753,1:29.753,1.735,MEDIUM,5,8,0.0,"[""Other""]",No transmission.,0.0,211.0,283.0,310.0,18.127,37.745,33.881,20:07:28,3.8,5.4,5.9
6,LEC,89.997,1:29.997,1.979,MEDIUM,6,8,0.0,"[""Other""]",No transmission.,0.0,210.0,284.0,312.0,18.229,38.128,33.64,20:08:59,3.8,5.2,6.0
7,LEC,89.538,1:29.538,1.52,MEDIUM,7,7,0.0,[],https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/CHALEC01_16_20241208_171300.mp3,0.0,209.0,296.0,304.0,17.992,38.227,33.319,20:10:26,4.4,5.5,6.0
8,LEC,89.784,1:29.784,1.766,MEDIUM,8,7,0.0,"[""Other""]",No transmission.,0.0,210.0,292.0,299.0,17.962,38.543,33.279,20:11:58,3.8,5.3,6.0
9,LEC,89.913,1:29.913,1.895,MEDIUM,9,7,0.0,"[""Other""]",No transmission.,0.0,208.0,285.0,317.0,18.002,37.966,33.945,20:13:29,3.8,5.2,6.1
10,LEC,90.008,1:30.008,1.99,MEDIUM,10,6,0.0,"[""Other""]",No transmission.,0.0,210.0,292.0,296.0,18.081,38.411,33.516,20:15:00,3.8,5.2,6.1
11,LEC,90.268,1:30.268,2.25,MEDIUM,11,6,0.0,"[""Other""]",No transmission.,0.0,209.0,291.0,312.0,17.988,38.41,33.87,20:16:32,3.8,5.0,6.2
12,LEC,89.507,1:29.507,1.489,MEDIUM,12,5,0.0,"[""Other""]",No transmission.,0.0,211.0,285.0,327.0,18.119,38.111,33.277,20:17:54,3.8,5.5,6.2
13,LEC,89.834,1:29.834,1.816,MEDIUM,13,5,0.0,[],No transmission.,0.0,211.0,286.0,294.0,18.039,38.639,33.156,20:19:27,3.8,5.3,6.3
14,LEC,89.516,1:29.516,1.498,MEDIUM,14,5,0.0,"[""Other""]",No transmission.,0.0,209.0,287.0,299.0,17.978,38.395,33.143,20:20:53,3.8,5.5,6.3
15,LEC,89.675,1:29.675,1.657,MEDIUM,15,4,0.0,"[""Other""]",No transmission.,0.0,209.0,288.0,297.0,17.975,38.553,33.147,20:22:25,3.8,5.5,6.3
16,LEC,89.82,1:29.820,1.802,MEDIUM,16,4,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,209.0,285.0,297.0,18.072,38.527,33.221,20:23:57,3.8,5.3,6.4
17,LEC,89.57,1:29.570,1.552,MEDIUM,17,4,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,210.0,287.0,312.0,17.992,38.163,33.415,20:25:22,3.8,5.5,6.4
18,LEC,89.841,1:29.841,1.823,MEDIUM,18,4,0.0,[],No transmission.,0.0,209.0,290.0,306.0,18.069,38.299,33.473,20:26:57,3.8,5.3,6.5
19,LEC,90.082,1:30.082,2.064,MEDIUM,19,4,0.0,[],No transmission.,0.0,209.0,290.0,311.0,17.998,38.297,33.787,20:28:31,3.8,5.1,6.5
20,LEC,92.189,1:32.189,4.171,MEDIUM,20,4,0.0,[],https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/CHALEC01_16_20241208_173229.mp3,0.0,300.0,284.0,293.0,18.119,38.944,35.126,20:30:43,4.4,3.3,6.7
21,LEC,108.662,1:48.662,20.644,HARD,1,8,0.0,[],No transmission.,0.0,213.0,283.0,293.0,38.081,38.116,32.465,20:38:01,4.8,3.2,6.7
22,LEC,89.802,1:29.802,1.784,HARD,2,8,0.0,[],No transmission.,0.0,211.0,286.0,298.0,18.073,38.235,33.494,20:32:55,3.8,5.3,6.7
23,LEC,90.437,1:30.437,2.419,HARD,3,7,0.0,[],No transmission.,0.0,211.0,289.0,312.0,18.219,38.362,33.856,20:34:40,3.8,4.8,6.8
24,LEC,89.185,1:29.185,1.167,HARD,4,6,0.0,[],No transmission.,0.0,211.0,291.0,303.0,17.942,38.306,32.937,20:35:40,3.8,5.8,6.8
25,LEC,88.912,1:28.912,0.894,HARD,5,6,0.0,"[""Other""]",No transmission.,0.0,212.0,285.0,294.0,18.043,38.265,32.604,20:37:02,3.8,6.1,6.9
26,LEC,89.084,1:29.084,1.066,HARD,6,6,0.0,[],No transmission.,0.0,212.0,284.0,293.0,18.028,38.476,32.58,20:38:36,3.8,5.9,6.9
27,LEC,88.873,1:28.873,0.855,HARD,7,5,0.0,"[""Other"", ""Flag""]",https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/CHALEC01_16_20241208_174342.mp3,0.0,212.0,285.0,294.0,18.018,38.317,32.538,20:39:59,4.4,6.1,7.0
28,LEC,88.443,1:28.443,0.425,HARD,8,5,0.0,[],No transmission.,0.0,211.0,287.0,295.0,17.846,38.206,32.391,20:41:16,3.8,6.4,7.0
29,LEC,88.56,1:28.560,0.542,HARD,9,5,0.0,"[""Other""]",No transmission.,0.0,212.0,288.0,295.0,17.854,38.248,32.458,20:42:48,3.8,6.4,7.0
30,LEC,88.609,1:28.609,0.591,HARD,10,4,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,212.0,287.0,296.0,17.877,38.19,32.542,20:44:18,3.8,6.3,7.1
31,LEC,88.485,1:28.485,0.467,HARD,11,4,0.0,"[""Flag"", ""DRS_ENABLED"", ""Other"", ""YELLOW_FLAG""]",No transmission.,0.0,214.0,287.0,296.0,17.838,38.154,32.493,20:45:43,3.8,6.4,7.1
32,LEC,88.536,1:28.536,0.518,HARD,12,4,0.0,"[""Other"", ""Flag""]",No transmission.,0.0,213.0,287.0,296.0,17.913,38.139,32.484,20:47:13,3.8,6.4,7.2
33,LEC,88.518,1:28.518,0.5,HARD,13,4,0.0,"[""Other""]",No transmission.,0.0,211.0,291.0,299.0,17.771,38.154,32.593,20:48:41,3.8,6.4,7.2
34,LEC,88.536,1:28.536,0.518,HARD,14,3,0.0,[],No transmission.,0.0,212.0,290.0,300.0,17.808,38.154,32.574,20:50:10,3.8,6.4,7.2
35,LEC,88.312,1:28.312,0.294,HARD,15,3,0.0,[],No transmission.,0.0,214.0,289.0,297.0,17.837,38.122,32.353,20:51:30,3.8,6.5,7.3
36,LEC,88.09,1:28.090,0.072,HARD,16,3,0.0,[],No transmission.,0.0,213.0,288.0,297.0,17.73,38.133,32.227,20:52:51,3.8,6.7,7.3
37,LEC,88.305,1:28.305,0.287,HARD,17,3,0.0,"[""Other""]",No transmission.,0.0,213.0,288.0,296.0,17.701,38.181,32.423,20:54:27,3.8,6.5,7.4
38,LEC,88.189,1:28.189,0.171,HARD,18,3,0.0,"[""Other""]",No transmission.,0.0,213.0,290.0,299.0,17.705,38.066,32.418,20:55:51,3.8,6.7,7.4
39,LEC,88.135,1:28.135,0.117,HARD,19,3,0.0,[],No transmission.,0.0,212.0,291.0,298.0,17.718,38.035,32.382,20:57:17,3.8,6.7,7.5
40,LEC,88.565,1:28.565,0.547,HARD,20,3,0.0,[],No transmission.,0.0,213.0,287.0,296.0,17.796,38.191,32.578,20:59:02,3.8,6.3,7.6
41,LEC,88.403,1:28.403,0.385,HARD,21,3,0.0,[],No transmission.,0.0,213.0,291.0,305.0,17.734,38.135,32.534,21:00:24,3.8,6.4,7.6
42,LEC,88.49,1:28.490,0.472,HARD,22,3,0.0,[],No transmission.,0.0,214.0,291.0,300.0,17.77,38.181,32.539,21:01:56,3.8,6.4,7.7
