lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue
1,NOR,91.142,1:31.142,3.704,MEDIUM,1,1,0.0,"[""DRS_ENABLED"", ""Flag"", ""YELLOW_FLAG"", ""Other"", ""SessionStatus""]",No transmission.,0.0,217.0,281.0,283.0,24.608,38.405,32.676,20:01:31,3.0,3.4,5.7
2,NOR,108.349,1:48.349,20.911,MEDIUM,2,1,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,147.0,280.0,221.0,18.242,46.262,43.845,20:03:36,3.8,3.2,5.8
3,NOR,103.313,1:43.313,15.875,MEDIUM,3,1,0.0,"[""Flag"", ""DRS_ENABLED"", ""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,214.0,258.0,295.0,25.352,45.077,32.884,20:05:09,3.8,3.2,5.8
4,NOR,89.01,1:29.010,1.572,MEDIUM,4,1,0.0,"[""Other""]",No transmission.,0.0,214.0,282.0,295.0,18.28,38.144,32.586,20:05:56,3.8,5.5,5.9
5,NOR,89.104,1:29.104,1.666,MEDIUM,5,1,0.0,"[""Other""]",No transmission.,0.0,215.0,281.0,294.0,18.253,38.234,32.617,20:07:25,3.8,5.5,5.9
6,NOR,89.361,1:29.361,1.923,MEDIUM,6,1,0.0,"[""Other""]",No transmission.,0.0,213.0,282.0,293.0,18.181,38.422,32.758,20:08:56,3.8,5.2,6.0
7,NOR,89.024,1:29.024,1.586,MEDIUM,7,1,0.0,[],No transmission.,0.0,215.0,284.0,293.0,18.094,38.34,32.59,20:10:23,3.8,5.5,6.0
8,NOR,88.86,1:28.860,1.422,MEDIUM,8,1,0.0,"[""Other""]",No transmission.,0.0,214.0,282.0,293.0,18.085,38.175,32.6,20:11:50,3.8,5.7,6.0
9,NOR,89.007,1:29.007,1.569,MEDIUM,9,1,0.0,"[""Other""]",No transmission.,0.0,212.0,283.0,294.0,18.111,38.26,32.636,20:13:21,3.8,5.5,6.1
10,NOR,89.244,1:29.244,1.806,MEDIUM,10,1,0.0,"[""Other""]",No transmission.,0.0,212.0,283.0,297.0,18.158,38.38,32.706,20:14:52,3.8,5.3,6.1
11,NOR,89.128,1:29.128,1.69,MEDIUM,11,1,0.0,"[""Other""]",No transmission.,0.0,213.0,284.0,294.0,18.06,38.418,32.65,20:16:20,3.8,5.4,6.2
12,NOR,89.084,1:29.084,1.646,MEDIUM,12,1,0.0,"[""Other""]",No transmission.,0.0,213.0,285.0,296.0,18.079,38.368,32.637,20:17:49,3.8,5.5,6.2
13,NOR,89.272,1:29.272,1.834,MEDIUM,13,1,0.0,[],No transmission.,0.0,212.0,286.0,297.0,17.957,38.52,32.795,20:19:20,3.8,5.3,6.3
14,NOR,89.039,1:29.039,1.601,MEDIUM,14,1,0.0,"[""Other""]",No transmission.,0.0,211.0,285.0,298.0,18.016,38.434,32.589,20:20:46,3.8,5.5,6.3
