lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue
1,RUS,94.679,1:34.679,6.484,MEDIUM,2,4,0.0,"[""DRS_ENABLED"", ""Flag"", ""YELLOW_FLAG"", ""Other"", ""SessionStatus""]",No transmission.,0.0,215.0,285.0,297.0,25.563,38.837,33.002,20:01:34,3.0,3.2,5.7
2,RUS,109.838,1:49.838,21.643,MEDIUM,3,4,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,175.0,289.0,248.0,17.983,48.728,43.127,20:03:39,3.8,3.2,5.8
3,RUS,102.811,1:42.811,14.616,MEDIUM,4,4,0.0,"[""Flag"", ""DRS_ENABLED"", ""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,212.0,202.0,323.0,25.735,43.337,33.739,20:05:08,3.8,3.2,5.8
4,RUS,89.488,1:29.488,1.293,MEDIUM,5,4,0.0,"[""Other""]",No transmission.,0.0,211.0,291.0,308.0,17.841,37.934,33.713,20:05:57,3.8,5.7,5.9
5,RUS,89.796,1:29.796,1.601,MEDIUM,6,4,0.0,"[""Other""]",No transmission.,0.0,211.0,290.0,320.0,17.934,37.993,33.869,20:07:28,3.8,5.5,5.9
6,RUS,89.791,1:29.791,1.596,MEDIUM,7,4,0.0,"[""Other""]",No transmission.,0.0,211.0,291.0,305.0,17.918,38.19,33.683,20:08:58,3.8,5.5,6.0
7,RUS,89.738,1:29.738,1.543,MEDIUM,8,4,0.0,[],No transmission.,0.0,211.0,291.0,318.0,17.94,37.834,33.964,20:10:28,3.8,5.5,6.0
8,RUS,89.988,1:29.988,1.793,MEDIUM,9,4,0.0,"[""Other""]",No transmission.,0.0,210.0,288.0,306.0,17.962,38.422,33.604,20:11:59,3.8,5.3,6.0
9,RUS,89.816,1:29.816,1.621,MEDIUM,10,4,0.0,"[""Other""]",No transmission.,0.0,211.0,292.0,297.0,17.887,38.624,33.305,20:13:28,3.8,5.5,6.1
10,RUS,90.056,1:30.056,1.861,MEDIUM,11,4,0.0,"[""Other""]",No transmission.,0.0,209.0,289.0,298.0,17.981,38.654,33.421,20:15:00,3.8,5.2,6.1
11,RUS,90.055,1:30.055,1.86,MEDIUM,12,4,0.0,"[""Other""]",No transmission.,0.0,210.0,289.0,305.0,18.006,38.702,33.347,20:16:30,3.8,5.2,6.2
