lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue
1,SAI,92.999,1:32.999,5.234,MEDIUM,1,2,0.0,"[""DRS_ENABLED"", ""Flag"", ""YELLOW_FLAG"", ""Other"", ""SessionStatus""]",No transmission.,0.0,213.0,285.0,289.0,25.11,38.437,32.859,20:01:32,3.0,3.2,5.7
2,SAI,109.77,1:49.770,22.005,MEDIUM,2,2,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,117.0,279.0,182.0,18.329,45.655,45.786,20:03:39,3.8,3.2,5.8
3,SAI,102.795,1:42.795,15.03,MEDIUM,3,2,0.0,"[""Flag"", ""DRS_ENABLED"", ""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,212.0,240.0,298.0,25.783,44.623,32.389,20:05:08,3.8,3.2,5.8
4,SAI,88.995,1:28.995,1.23,MEDIUM,4,2,0.0,"[""Other""]",No transmission.,0.0,212.0,283.0,294.0,18.166,38.123,32.706,20:05:55,3.8,5.8,5.9
5,SAI,89.25,1:29.250,1.485,MEDIUM,5,2,0.0,"[""Other""]",No transmission.,0.0,211.0,282.0,295.0,18.101,38.189,32.96,20:07:26,3.8,5.5,5.9
6,SAI,89.253,1:29.253,1.488,MEDIUM,6,2,0.0,"[""Other""]",No transmission.,0.0,210.0,281.0,294.0,18.165,38.173,32.915,20:08:55,3.8,5.5,6.0
7,SAI,89.063,1:29.063,1.298,MEDIUM,7,2,0.0,[],No transmission.,0.0,211.0,285.0,296.0,18.08,38.207,32.776,20:10:23,3.8,5.7,6.0
8,SAI,89.202,1:29.202,1.437,MEDIUM,8,2,0.0,"[""Other""]",No transmission.,0.0,211.0,282.0,294.0,18.142,38.347,32.713,20:11:53,3.8,5.7,6.0
9,SAI,89.187,1:29.187,1.422,MEDIUM,9,2,0.0,"[""Other""]",No transmission.,0.0,210.0,284.0,296.0,18.083,38.353,32.751,20:13:22,3.8,5.7,6.1
10,SAI,89.32,1:29.320,1.555,MEDIUM,10,2,0.0,"[""Other""]",No transmission.,0.0,211.0,283.0,295.0,18.038,38.373,32.909,20:14:53,3.8,5.5,6.1
