lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
1,VER,88.425,1:28.425,-0.075,HARD,2,1,0.0,[],"Let's go, clean start.",0.0,309.2,252.6,263.6,23.875,39.791,24.759,20:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
2,VER,88.294,1:28.294,-0.206,HARD,3,1,0.0,[],,0.0,296.5,239.2,267.9,23.839,39.732,24.722,20:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
3,VER,88.561,1:28.561,0.061,HARD,4,1,0.0,[],,0.0,305.3,238.4,269.5,23.911,39.852,24.797,20:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
4,VER,88.699,1:28.699,0.199,HARD,5,1,0.0,[],,0.0,297.4,241.6,256.9,23.949,39.915,24.836,20:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
5,VER,88.383,1:28.383,-0.117,HARD,6,1,0.0,[],,0.0,302.4,246.6,258.7,23.863,39.772,24.747,20:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
6,VER,88.567,1:28.567,0.067,HARD,7,1,0.0,[],,0.0,296.2,243.8,259.9,23.913,39.855,24.799,20:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
7,VER,88.474,1:28.474,-0.026,HARD,8,1,0.0,[],,0.0,306.6,242.0,262.2,23.888,39.813,24.773,20:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
8,VER,88.555,1:28.555,0.055,HARD,9,1,0.0,[],,0.0,294.7,250.2,256.7,23.91,39.85,24.796,20:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
9,VER,88.239,1:28.239,-0.261,HARD,10,1,0.0,[],,0.0,309.2,257.3,266.9,23.825,39.708,24.707,20:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
10,VER,88.383,1:28.383,-0.117,HARD,11,1,0.0,[],,0.0,295.6,251.7,261.0,23.863,39.772,24.747,20:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
11,VER,88.273,1:28.273,-0.227,HARD,12,1,0.0,[],,0.0,301.9,238.7,268.5,23.834,39.723,24.717,20:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
12,VER,88.355,1:28.355,-0.145,HARD,13,1,0.0,[],,0.0,304.6,244.2,262.3,23.856,39.76,24.739,20:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
13,VER,88.528,1:28.528,0.028,HARD,14,1,0.0,[],,0.0,297.0,257.4,266.4,23.903,39.838,24.788,20:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
14,VER,88.764,1:28.764,0.264,HARD,15,1,0.0,[],,0.0,308.3,250.0,268.7,23.966,39.944,24.854,20:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
15,VER,88.253,1:28.253,-0.247,HARD,16,1,0.0,[],,0.0,297.1,238.9,259.2,23.828,39.714,24.711,20:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
16,VER,88.433,1:28.433,-0.067,HARD,17,1,0.0,[],,0.0,298.3,254.6,259.7,23.877,39.795,24.761,20:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
17,VER,88.369,1:28.369,-0.131,HARD,18,1,0.0,[],,0.0,302.7,240.8,266.8,23.86,39.766,24.743,20:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
18,VER,88.245,1:28.245,-0.255,HARD,19,1,0.5,[],,0.0,309.8,253.4,257.2,23.826,39.71,24.709,20:27:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
19,VER,88.203,1:28.203,-0.297,HARD,20,1,1.0,[],,0.0,307.0,252.1,265.7,23.815,39.691,24.697,20:28:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
20,VER,88.663,1:28.663,0.163,HARD,1,1,1.5,[],"Copy, understood. Gap is fine.",1.0,295.2,245.2,255.9,23.939,39.898,24.826,20:30:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
21,VER,88.718,1:28.718,0.218,MEDIUM,2,1,2.0,[],,0.0,304.0,244.6,255.0,23.954,39.923,24.841,20:31:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
22,VER,88.387,1:28.387,-0.113,MEDIUM,3,1,2.5,[],,0.0,299.2,252.6,264.2,23.864,39.774,24.748,20:33:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
23,VER,88.732,1:28.732,0.232,MEDIUM,4,1,3.0,[],,0.0,301.6,240.4,265.4,23.958,39.93,24.845,20:34:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
24,VER,88.656,1:28.656,0.156,MEDIUM,5,1,3.5,[],,0.0,303.0,253.4,261.9,23.937,39.895,24.824,20:36:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
25,VER,88.514,1:28.514,0.014,MEDIUM,6,1,4.0,[],,0.0,300.8,238.5,255.7,23.899,39.831,24.784,20:37:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
26,VER,88.219,1:28.219,-0.281,MEDIUM,7,1,4.5,[],,0.0,304.2,244.3,262.1,23.819,39.698,24.701,20:39:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
27,VER,88.745,1:28.745,0.245,MEDIUM,8,1,5.0,[],,0.0,298.0,246.2,266.1,23.961,39.935,24.848,20:40:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
28,VER,88.337,1:28.337,-0.163,MEDIUM,9,1,5.5,[],,0.0,295.2,243.8,256.6,23.851,39.752,24.734,20:42:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
29,VER,88.758,1:28.758,0.258,MEDIUM,10,1,6.0,[],,0.0,306.9,250.7,267.9,23.965,39.941,24.852,20:43:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
30,VER,88.682,1:28.682,0.182,MEDIUM,11,1,6.5,[],"Tyre temps looking good, keep pushing.",1.0,297.0,255.9,262.6,23.944,39.907,24.831,20:45:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
31,VER,88.684,1:28.684,0.184,MEDIUM,12,1,7.0,[],,0.0,308.3,244.4,255.8,23.945,39.908,24.832,20:46:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
32,VER,88.337,1:28.337,-0.163,MEDIUM,13,1,7.5,[],,0.0,300.8,254.4,267.8,23.851,39.752,24.734,20:48:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
33,VER,88.204,1:28.204,-0.296,MEDIUM,14,1,8.0,[],,0.0,302.2,246.3,257.6,23.815,39.692,24.697,20:49:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
34,VER,88.272,1:28.272,-0.228,MEDIUM,15,1,8.5,[],,0.0,299.4,256.9,259.2,23.833,39.722,24.716,20:51:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
35,VER,88.512,1:28.512,0.012,MEDIUM,16,1,9.0,[],"Position is secure, manage the gap.",1.0,305.2,245.3,269.5,23.898,39.83,24.783,20:52:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
36,VER,88.779,1:28.779,0.279,MEDIUM,17,1,9.5,[],,0.0,298.0,247.9,258.8,23.97,39.951,24.858,20:54:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
37,VER,88.376,1:28.376,-0.124,MEDIUM,18,1,10.0,[],,0.0,294.6,250.2,262.0,23.862,39.769,24.745,20:55:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
38,VER,88.245,1:28.245,-0.255,MEDIUM,19,1,10.5,[],,0.0,298.5,256.2,257.8,23.826,39.71,24.709,20:57:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
39,VER,88.32,1:28.320,-0.18,SOFT,20,1,11.0,[],,0.0,301.8,257.7,257.9,23.846,39.744,24.729,20:58:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
40,VER,88.672,1:28.672,0.172,SOFT,1,1,11.5,[],,0.0,306.2,242.8,265.7,23.942,39.903,24.828,21:00:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
41,VER,88.553,1:28.553,0.053,SOFT,2,1,12.0,[],,0.0,304.1,250.7,262.6,23.909,39.849,24.795,21:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
42,VER,88.483,1:28.483,-0.017,SOFT,3,1,12.5,[],,0.0,307.4,244.4,257.0,23.891,39.818,24.775,21:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
43,VER,88.584,1:28.584,0.084,SOFT,4,1,13.0,[],,0.0,303.5,251.6,254.3,23.918,39.863,24.803,21:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
44,VER,89.017,1:29.017,0.517,SOFT,5,1,13.5,"[""YELLOW_FLAG""]","We need to extend, tyres are degrading fast.",-1.0,297.6,250.9,256.8,24.035,40.058,24.925,21:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
45,VER,89.27,1:29.270,0.77,SOFT,6,1,14.0,"[""SAFETY_CAR""]",,0.0,300.2,256.7,256.2,24.103,40.171,24.995,21:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
46,VER,89.166,1:29.166,0.666,SOFT,7,1,14.5,"[""SAFETY_CAR""]",,0.0,295.8,256.5,268.0,24.075,40.125,24.966,21:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
47,VER,89.155,1:29.155,0.655,SOFT,8,1,15.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]","These tyres are completely gone, I cannot hold Norris.",-1.0,304.6,254.3,262.9,24.072,40.12,24.963,21:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
48,VER,89.279,1:29.279,0.779,SOFT,9,1,14.5,"[""SAFETY_CAR""]","Keep pushing, gap is stable.",1.0,297.9,239.9,268.4,24.105,40.175,24.998,21:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
49,VER,89.395,1:29.395,0.895,SOFT,10,1,14.0,"[""DRS_ENABLED""]",,0.0,304.1,244.8,259.6,24.137,40.228,25.031,21:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
50,VER,89.146,1:29.146,0.646,SOFT,11,1,13.5,"[""DRS_ENABLED""]",Box box box. Understood.,1.0,308.4,255.7,266.5,24.069,40.116,24.961,21:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
51,VER,88.945,1:28.945,0.445,SOFT,12,1,13.0,[],"OK, new tyres. Let's push.",1.0,295.3,241.2,268.4,24.015,40.025,24.905,21:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
52,VER,88.793,1:28.793,0.293,SOFT,13,1,12.5,[],,0.0,294.1,240.0,264.6,23.974,39.957,24.862,21:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
53,VER,88.335,1:28.335,-0.165,SOFT,14,1,12.0,[],"Gap to Norris is growing, good job.",1.0,296.6,249.0,265.1,23.851,39.751,24.734,21:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
54,VER,88.66,1:28.660,0.16,SOFT,15,1,11.5,[],,0.0,297.6,252.2,257.8,23.938,39.897,24.825,21:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
55,VER,88.428,1:28.428,-0.072,SOFT,16,1,11.0,[],,0.0,305.9,251.0,267.6,23.876,39.793,24.76,21:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
56,VER,88.609,1:28.609,0.109,SOFT,17,1,10.5,[],,0.0,303.1,239.9,259.9,23.924,39.874,24.81,21:24:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
57,VER,88.365,1:28.365,-0.135,SOFT,18,1,10.0,[],,0.0,297.9,257.5,260.3,23.858,39.764,24.742,21:25:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
58,VER,88.737,1:28.737,0.237,SOFT,19,1,9.5,[],"Checkered flag, brilliant drive Max.",1.0,304.1,253.9,262.0,23.959,39.932,24.846,21:27:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
