lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
1,VER,99.51,1:39.510,11.745,MEDIUM,1,11,0.0,"[""DRS_ENABLED"", ""YELLOW_FLAG"", ""Other"", ""SessionStatus"", ""Flag""]","Let's go, clean start.",0.0,208.0,290.0,302.0,26.868,39.931,34.944,20:01:39,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
2,VER,114.938,1:54.938,27.173,MEDIUM,2,11,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG""]",No transmission.,0.0,191.0,291.0,239.0,18.209,54.569,42.16,20:03:49,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
3,VER,98.051,1:38.051,10.286,MEDIUM,3,10,0.0,"[""SAFETY_CAR"", ""YELLOW_FLAG"", ""Flag"", ""DRS_ENABLED""]",No transmission.,0.0,211.0,239.0,303.0,23.196,41.997,32.858,20:04:54,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
4,VER,89.504,1:29.504,1.739,MEDIUM,4,10,0.0,"[""Other""]",No transmission.,0.0,207.0,286.0,303.0,18.166,38.187,33.151,20:05:58,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
5,VER,89.813,1:29.813,2.048,MEDIUM,5,10,0.0,"[""Other""]","Copy, understood.",1.0,207.0,288.0,306.0,18.056,37.945,33.812,20:07:29,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
6,VER,89.412,1:29.412,1.647,MEDIUM,6,9,0.0,"[""Other""]",No transmission.,0.0,209.0,290.0,327.0,18.012,38.101,33.299,20:08:56,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
7,VER,89.885,1:29.885,2.12,MEDIUM,7,9,0.0,[],No transmission.,0.0,208.0,284.0,299.0,18.085,38.58,33.22,20:10:29,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
8,VER,89.824,1:29.824,2.059,MEDIUM,8,9,0.0,"[""Other""]",No transmission.,0.0,205.0,289.0,317.0,18.021,37.966,33.837,20:11:58,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
9,VER,89.445,1:29.445,1.68,MEDIUM,9,8,0.0,"[""Other""]",No transmission.,0.0,208.0,288.0,323.0,18.085,38.121,33.239,20:13:25,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
10,VER,90.449,1:30.449,2.684,MEDIUM,10,8,0.0,"[""Other""]","Copy, understood.",1.0,207.0,282.0,298.0,18.135,38.811,33.503,20:15:04,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
11,VER,90.395,1:30.395,2.63,MEDIUM,11,8,0.0,"[""Other""]",No transmission.,0.0,207.0,288.0,316.0,18.08,38.538,33.777,20:16:34,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
12,VER,90.164,1:30.164,2.399,MEDIUM,12,7,0.0,"[""Other""]",No transmission.,0.0,208.0,289.0,318.0,18.099,38.564,33.501,20:18:01,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
13,VER,90.178,1:30.178,2.413,MEDIUM,13,6,0.0,[],No transmission.,0.0,208.0,286.0,298.0,18.103,38.737,33.338,20:19:32,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
