lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
1,VER,92.205,1:32.205,1.005,SOFT,1,1,15.0,"[""YELLOW_FLAG""]",No transmission.,0.0,309.2,252.6,263.6,24.895,41.492,25.817,20:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
2,VER,92.031,1:32.031,0.831,SOFT,2,1,14.5,"[""SAFETY_CAR""]",No transmission.,0.0,296.5,239.2,267.9,24.848,41.414,25.769,20:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
3,VER,92.181,1:32.181,0.981,SOFT,3,1,14.0,"[""SAFETY_CAR""]",No transmission.,0.0,305.3,238.4,269.5,24.889,41.482,25.811,20:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
4,VER,92.161,1:32.161,0.961,SOFT,4,1,13.5,[],No transmission.,0.0,297.4,241.6,256.9,24.883,41.472,25.805,20:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
5,VER,91.678,1:31.678,0.478,SOFT,5,1,13.0,[],No transmission.,0.0,302.4,246.6,258.7,24.753,41.255,25.67,20:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
6,VER,91.719,1:31.719,0.519,SOFT,6,1,12.5,[],No transmission.,0.0,296.2,243.8,259.9,24.764,41.274,25.681,20:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
7,VER,91.519,1:31.519,0.319,SOFT,7,1,12.0,[],No transmission.,0.0,306.6,242.0,262.2,24.71,41.184,25.625,20:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
8,VER,91.531,1:31.531,0.331,SOFT,8,1,11.5,[],No transmission.,0.0,294.7,250.2,256.7,24.713,41.189,25.629,20:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
9,VER,91.175,1:31.175,-0.025,SOFT,9,1,11.0,[],No transmission.,0.0,309.2,257.3,266.9,24.617,41.029,25.529,20:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
10,VER,91.298,1:31.298,0.098,SOFT,10,1,10.5,[],No transmission.,0.0,295.6,251.7,261.0,24.65,41.084,25.563,20:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
11,VER,91.179,1:31.179,-0.021,SOFT,11,1,10.0,[],No transmission.,0.0,301.9,238.7,268.5,24.618,41.031,25.53,20:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
12,VER,91.257,1:31.257,0.057,SOFT,12,1,9.5,[],No transmission.,0.0,304.6,244.2,262.3,24.639,41.066,25.552,20:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
13,VER,91.429,1:31.429,0.229,SOFT,13,1,9.0,[],No transmission.,0.0,297.0,257.4,266.4,24.686,41.143,25.6,20:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
