lap,driver,lap_time_seconds,lap_time_formatted,delta_to_best,tyre_compound,tyre_age,position,gap_to_p2,race_events,radio_text,radio_sentiment,speed_fl,speed_i1,speed_i2,sector1,sector2,sector3,timestamp,stress_index,decision_quality,mental_fatigue,situational_awareness,heart_rate_est,eye_tracking,reaction_time_delta,mental_state,granite_analysis
1,VER,74.925,1:14.925,0.425,SOFT,1,1,0.0,[],No transmission.,0.0,297.2,239.6,251.6,20.23,33.716,20.979,20:01:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
2,VER,74.794,1:14.794,0.294,SOFT,2,1,0.0,[],No transmission.,0.0,284.5,226.2,255.9,20.194,33.657,20.942,20:03:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
3,VER,75.061,1:15.061,0.561,SOFT,3,1,0.0,[],No transmission.,0.0,293.3,225.4,257.5,20.266,33.777,21.017,20:04:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
4,VER,75.199,1:15.199,0.699,SOFT,4,1,0.0,[],No transmission.,0.0,285.4,228.6,244.9,20.304,33.84,21.056,20:06:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
5,VER,74.883,1:14.883,0.383,SOFT,5,1,0.0,[],No transmission.,0.0,290.4,233.6,246.7,20.218,33.697,20.967,20:07:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
6,VER,75.067,1:15.067,0.567,SOFT,6,1,0.0,[],No transmission.,0.0,284.2,230.8,247.9,20.268,33.78,21.019,20:09:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
7,VER,74.974,1:14.974,0.474,SOFT,7,1,0.0,[],No transmission.,0.0,294.6,229.0,250.2,20.243,33.738,20.993,20:10:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
8,VER,75.055,1:15.055,0.555,SOFT,8,1,0.0,[],No transmission.,0.0,282.7,237.2,244.7,20.265,33.775,21.016,20:12:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
9,VER,74.739,1:14.739,0.239,SOFT,9,1,0.0,[],No transmission.,0.0,297.2,244.3,254.9,20.18,33.633,20.927,20:13:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
10,VER,74.883,1:14.883,0.383,SOFT,10,1,0.0,[],No transmission.,0.0,283.6,238.7,249.0,20.218,33.697,20.967,20:15:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
11,VER,74.773,1:14.773,0.273,SOFT,11,1,0.0,[],No transmission.,0.0,289.9,225.7,256.5,20.189,33.648,20.937,20:16:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
12,VER,74.855,1:14.855,0.355,SOFT,12,1,0.0,[],No transmission.,0.0,292.6,231.2,250.3,20.211,33.685,20.959,20:18:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
13,VER,75.028,1:15.028,0.528,SOFT,13,1,0.0,[],No transmission.,0.0,285.0,244.4,254.4,20.258,33.763,21.008,20:19:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
14,VER,75.264,1:15.264,0.764,SOFT,14,1,0.0,[],No transmission.,0.0,296.3,237.0,256.7,20.321,33.869,21.074,20:21:00,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
15,VER,74.753,1:14.753,0.253,SOFT,15,1,0.0,[],No transmission.,0.0,285.1,225.9,247.2,20.183,33.639,20.931,20:22:30,0.0,0.0,0.0,0.0,0,FOCUSED,0,OPTIMAL FOCUS,
